ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານສຳລັບການຝຶກອົບຮົມພາສາມື,Referral to specialist service for sign language training, ຢືນຢັນການເຂົ້າຮ່ວມຂອງຄົນເຈັບສຳລັບການຝຶກອົບຮົມ ແລະ ຄຳແນະນຳທີ່ສະໜອງໂດຍຊ່ຽວຊານ,Confirm person attended for training and advice provided by specialist
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານສຳລັບການຝຶກອົບຮົມພາສາມື,Referral to specialist service for sign language training, ສົ່ງເສີມການໃຊ້ພາສາມືແກ່ ຄົນເຈັບ ແລະ ຄອບຄົວ,Encourage use of sign language by person and family
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານສຳລັບການຝຶກອົບຮົມພາສາມື,Referral to specialist service for sign language training, ຕິດຕາມການໃຊ້ພາສາມືນຳຊ່ຽວຊານ,Monitor use of sign language with specialist
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others , ການເຂົ້າຮ່ວມກິດຈະກຳພົບປະສ້າງສັນໃນໝູ່ບ້ານ,Participating in village social activities, ໃຫ້ຄຳປຶກສາຫາລືເພື່ອໃຫ້ມີການເຂົ້າຮ່ວມກິດຈະກຳທາງສັງຄົມກັບຄອບຄົວ ແລະ ໝູ່ເພື່ອນໃນຊຸມຊົນຫລາຍຂຶ້ນ,Provide counselling to encourage increased participation in social activities with family and friends in the community
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and family 
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງສະຖານບໍລິການປິ່ນປົວ,Organize referral to rehabilitation facility
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍສະຖານບໍລິການປິ່ນປົວ) ຖ້າຈຳເປັນ,Provide financial support (transport and health facility fees) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services)," ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວຕາມຄຳແນະນຳຂອງທ່ານໝໍ (ການປິ່ນປົວ, ການຜ່າຕັດ ແລະ ອື່ນໆ)","Confirm person attended for assessment and treatment (medication, surgery, etc) prescribed by doctor"
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວທີ່ສະໜອງໂດຍພະຍາບານ,Confirm person attended for assessment and treatment provided by nurse
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວທີ່ສະໜອງໂດຍນັກກາຍະບຳບັດ,Confirm person attended for assessment and treatment provided by PT
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວ (ການພັນແປ້ງຕໍ່ເນື່ອງ)  ທີ່ສະໜອງໂດຍຊ່າງອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູ,Confirm person attended for assessment and treatment (serial casting) provided by P&O
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ຢືນຢັນການສະໜອງອຸປະກອນອຳນວຍຄວາມສະດວກ ເຊັ່ນ: ລໍ້ເລື່ອນ ໂດຍພະນັກງານດ້ານການແພດຟື້ນຟູ,Confirm provision of wheeled assistive product by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ຢືນຢັນການສະໜອງອຸປະກອນອຳນວຍຄວາມສະດວກຊ່ວຍຍ່າງ ໂດຍພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Confirm provision of walking assistive product by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ຢືນຢັນການສະໜອງອຸປະກອນອຳນວຍຄວາມສະດວກຊ່ວຍຈັດທ່າ ໂດຍພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Confirm provision of positioning assistive product by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ຢືນຢັນການສະໜອງອຸປະກອນອຳນວຍຄວາມສະດວກ ເຊັ່ນ: ອົງຄະທຽມ & ເຄື່ອງຄ້ຳຊູ ໂດຍພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Confirm provision of P&O assistive product by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ສະໜັບສະໜູນເພື່ອໃຫ້ຄົນເຈັບໄດ້ລໍ້ເລື່ອນຈາກຜູ້ຜະລິດລາຍອື່ນ (ຮ້ານຂາຍຢາ/ຜະລິດຕະພັນທ້ອງຖິ່ນ) ຖ້າຈຳເປັນ,Support person to get a wheeled assistive product from another supplier (pharmacy/ locally made) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ສະໜັບສະໜູນເພື່ອໃຫ້ຄົນເຈັບໄດ້ອຸປະກອນອຳນວຍຄວາມສະດວກຊ່ວຍຍ່າງຈາກຜູ້ຜະລິດລາຍອື່ນ (ຮ້ານຂາຍຢາ/ຜະລິດຕະພັນທ້ອງຖິ່ນ) ຖ້າຈຳເປັນ,Support person to get a walking assistive product from another supplier (pharmacy/ locally made) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ສະໜັບສະໜູນເພື່ອໃຫ້ຄົນເຈັບໄດ້ອຸປະກອນອຳນວຍຄວາມສະດວກຊ່ວຍຈັດທ່າຈາກຜູ້ຜະລິດລາຍອື່ນ (ຮ້ານຂາຍຢາ/ຜະລິດຕະພັນທ້ອງຖິ່ນ) ຖ້າຈຳເປັນ,Support person to get a positioning assistive product from another supplier (pharmacy/ locally made) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ສະໜັບສະໜູນເພື່ອໃຫ້ຄົນເຈັບໄດ້ອົງຄະທຽມ ແລະ ເຄື່ອງຄ້ຳຊູຈາກຜູ້ຜະລິດລາຍອື່ນ (ຮ້ານຂາຍຢາ/ຜະລິດຕະພັນທ້ອງຖິ່ນ) ຖ້າຈຳເປັນ,Support person to get a P&O assistive product from another supplier (pharmacy/ locally made) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ສະໜັບສະໜູນດ້ານການຂົນສົ່ງອຸປະກອນອຳນວຍຄວາມສະດວກໄປຍັງເຮືອນຄົນເຈັບ ຖ້າຈຳເປັນ,Support transportation of assistive product to person's home if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ຫ້ຄຳແນະນຳກ່ຽວກັບການໃຊ້ ແລະ ສ້ອມແປງເຄື່ອງອຳນວຍຄວາມສະດວກ,Provide advice on use and maintenance of assistive product
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ສົ່ງເສີມການໃຊ້ ເຄື່ອງອຳນວຍຄວາມສະດວກດ້ານການເຄື່ອນໄຫວ / ການຈັດທ່າ,Encourage use of mobility/ positioning assistive product
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ຕິດຕາມການໃຊ້ ເຄື່ອງອຳນວຍຄວາມສະດວກ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Monitor use of assistive product with rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ສະໜັບສະໜູນການສ້ອມແປງ ເຄື່ອງອຳນວຍຄວາມສະດວກ ຖ້າຈຳເປັນ,Support repairs of assistive product if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ສະໜອງແວ່ນສາຍຕາກ່ຽວກັບການຝຶກແອບຢູ່ບ້ານຕາມຄຳແນະນຳຂອງພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Provide visual aids on home-based exercises prescribed by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services), ສົ່ງເສີມໃຫ້ຝຶກແອບຢູ່ບ້ານໃຫ້ສຳເລັດຕາມຄຳແນະນຳຂອງພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Encourage completion of home-based exercises prescribed by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home and/or in the village , ການນຳສົ່ງໄປປະເມີນດ້ານການເຄື່ອນໄຫວ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ,Referral for mobility and assistive product assessment at rehabilitation facility (PT and/or P&O services),ຕິດຕາມການຝຶກແອບຢູ່ບ້ານໃຫ້ສຳເລັດ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Monitor completion of home-based exercises with rehabilitation staff 
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ຮັບເອົາຄຳແນະນຳຈາກພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການກ່ຽວກັບການປັບປຸງການເຂົ້າເຖິງ,Obtain advice from rehabilitation staff on accessibility adjustments
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment," ສະແດງຮູບຖ່າຍ ໃຫ້ຄອບຄົວເບິ່ງ ກ່ຽວກັບການປັບປຸງການເຂົ້າເຖິງສຳລັບການເຄື່ອນໄຫວໄປມາບໍລິເວຍບ້ານ(ທາງເນີນ, ການຂະຫຍາຍປະຕູ ແລະ ອື່ນໆ ກັບພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ ຖ້າຈຳເປັນ) ","Show the family pictures on accessibility adjustments for moving in/ out and around the house (ramp, door width, etc.) (with rehabilitation staff when needed)"
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ປຶກສາຫາລືກັບຄອບຄົວວ່າ ແມ່ນຫຍັງທີ່ຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນສາມາດເຮັດໄດ້,Discuss with the family what is feasible to be made by family or local handyman
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ສົນທະນາກ່ຽວກັບ ຄວາມສ່ຽງດ້ານສິ່ງແວດລ້ອມ ແລະ ກິດຈະກໍາ ຮ່ວມກັບຄອບຄົວ,Discuss environmental risks and action with family as needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ໃຫ້ຄຳແນະນຳກ່ຽວກັບວິທີການປັບປຸງ ແລະ ວັດຖຸທີ່ຈຳເປັນ,Provide advice on how to do adjustments and materials needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ຢືນຢັນການປັບປຸງເຮືອນສຳເລັດໂດຍຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນ,Confirm completion of house adjustments  by family or local handyman
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ສົ່ງເສີມການໃຊ້ການປັບປຸງການເຂົ້າເຖິງ,Encourage use of accessibility modification
ເພີ່ມຄວາມອິດສະຫຼະໃນການເຄື່ອນໄຫວ ຢູ່ພາຍໃນ ແລະ ນອກເຮືອນ ຫຼື ໃນໝູ່ບ້ານ,Increase independent mobility inside and outside the home ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ຕິດຕາມການໃຊ້ການປັບປຸງການເຂົ້າເຖິງ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Monitor use of accessibility modification with rehabilitation staff
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services), ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and family 
 ເພີ່ມຄວາມອິດສະຫຼະໃນການໃຊ້ມື ແລະ ແຂນ,Increase independence using arms and hands , ການນຳສົ່ງໄປປະເມີນທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ (ການບໍລິການດ້ານກາຍະບຳບັດ/ອົງຄະທຽມ&ເຄື່ອງຄ້ຳຊູ) ,Referral for assessment at rehabilitation facility (PT and/or P&O services),ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງສະຖານບໍລິການປິ່ນປົວ,Organize referral to rehabilitation facility
